from,to,line,7_in,7_out,8_in,8_out
덕소,도심,경의·중앙선,17157,2235,13470,5973
도심,팔당,경의·중앙선,1690,1238,1770,2444
팔당,운길산,경의·중앙선,1917,1199,2293,1871
운길산,양수,경의·중앙선,8111,2859,5398,3924
양수,신원,경의·중앙선,619,303,520,809
신원,국수,경의·중앙선,2777,645,2417,2371
국수,아신,경의·중앙선,2584,802,1831,2378
아신,오빈,경의·중앙선,1261,338,1201,680
오빈,양평,경의·중앙선,34920,13115,36328,47591
양평,원덕,경의·중앙선,1361,542,1464,802
원덕,용문,경의·중앙선,4610,2505,6079,5310
용문,지평,경의·중앙선,351,280,260,191
서울역,신촌,경의·중앙선,42422,48595,64556,114076
신촌,서울역,경의·중앙선,87948,200290,157041,432584
청량리(서울시립대입구),회기,경춘선,65305,33969,83479,78061
회기,중랑,경춘선,26298,4088,25029,7296
중랑,상봉(시외버스터미널),경춘선,83255,21238,104293,48584
상봉(시외버스터미널),망우,경춘선,34749,6252,30093,17515
망우,신내,경춘선,2825,3840,2845,3329
신내,갈매,경춘선,17163,2689,11782,5816
갈매,별내,경춘선,10361,4241,9958,7607
별내,퇴계원,경춘선,23046,3807,17096,5844
퇴계원,사릉,경춘선,20854,7039,17368,7911
사릉,금곡,경춘선,6470,2541,6604,5301
금곡,평내호평,경춘선,31155,4753,24416,10053
평내호평,천마산,경춘선,9266,1888,7623,1672
천마산,마석,경춘선,20126,6465,14875,9017
마석,대성리,경춘선,1365,944,1404,1593
대성리,청평,경춘선,4499,2449,6888,5310
청평,상천,경춘선,686,382,922,1110
상천,가평,경춘선,3171,3618,4601,7803
가평,굴봉산,경춘선,168,261,250,466
굴봉산,백양리,경춘선,68,355,128,371
백양리,강촌,경춘선,539,541,557,3165
강촌,김유정,경춘선,579,529,492,1133
김유정,남춘천,경춘선,4905,3193,6332,6470
남춘천,춘천,경춘선,2163,2920,3102,6640
판교,이매,경강선,22044,13524,25505,22150
이매,삼동,경강선,12593,2149,15174,2477
삼동,경기광주,경강선,37663,4987,43126,11280
경기광주,초월,경강선,13021,4010,14785,5911
초월,곤지암,경강선,7088,5112,6861,8054
곤지암,신둔도예촌,경강선,4511,2094,4517,4374
신둔도예촌,이천,경강선,8262,5449,8430,8833
이천,부발,경강선,5508,4620,5483,7448
부발,세종대왕릉,경강선,1053,514,1127,590
세종대왕릉,여주,경강선,6485,2804,5898,5705
청량리(서울시립대입구),왕십리(성동구청),분당선,68648,34454,117540,83485
왕십리(성동구청),서울숲,분당선,15547,12808,26222,38253
서울숲,압구정로데오,분당선,6187,22499,10553,74242
압구정로데오,강남구청,분당선,16098,46268,24042,173646
강남구청,선정릉,분당선,15424,28280,20209,105968
선정릉,선릉,분당선,30378,150692,48756,465804
선릉,한티,분당선,23615,24391,30716,50303
한티,도곡,분당선,20842,28949,30959,54977
도곡,구룡,분당선,3197,8794,5483,5971
구룡,개포동,분당선,9153,5985,10801,10003
개포동,대모산입구,분당선,10862,4577,13317,10530
대모산입구,수서,분당선,70571,62882,97044,108090
수서,복정,분당선,37879,13388,48745,24104
복정,가천대,분당선,19401,7678,29212,45242
가천대,태평,분당선,47829,9342,71143,18505
태평,모란,분당선,74478,31374,97548,53757
